File Name wav,label
wav_FFC#AbCECB551804011.wav,"[387, 53, 341, 181, 387, 53, 341, 181, 387, 49, 341, 177, 387, 56, 341, 184, 387, 48, 341, 176, 387, 52, 341, 180, 387, 48, 341, 176, 387, 59, 341, 187]"
wav_ABbAbCA910809.wav,"[387, 57, 341, 185, 387, 58, 341, 186, 387, 56, 341, 184, 387, 48, 341, 176, 387, 57, 341, 185]"
wav_AbADC#C#CEbDAD8921103292.wav,"[387, 56, 355, 305, 184, 387, 57, 355, 305, 185, 387, 50, 355, 305, 178, 387, 49, 355, 305, 177, 387, 49, 355, 305, 177, 387, 48, 355, 305, 176, 387, 51, 355, 305, 179, 387, 50, 355, 305, 178, 387, 57, 355, 305, 185, 387, 50, 355, 305, 178]"
wav_CBEBFF01141155.wav,"[387, 48, 341, 176, 387, 59, 341, 187, 387, 52, 341, 180, 387, 59, 341, 187, 387, 53, 341, 181, 387, 53, 341, 181]"
wav_AbC#Bb8110.wav,"[387, 56, 355, 305, 184, 387, 49, 355, 305, 177, 387, 58, 355, 305, 186]"
wav_BbEGGAbF#D10477862.wav,"[387, 58, 355, 186, 387, 52, 355, 180, 387, 55, 355, 183, 387, 55, 355, 183, 387, 56, 355, 184, 387, 54, 355, 182, 387, 50, 355, 178]"
wav_ABFEbEb911533.wav,"[387, 57, 355, 305, 185, 387, 59, 355, 305, 187, 387, 53, 355, 305, 181, 387, 51, 355, 305, 179, 387, 51, 355, 305, 179]"
wav_BEbEbFBbBb113351010.wav,"[387, 59, 341, 187, 387, 51, 341, 179, 387, 51, 341, 179, 387, 53, 341, 181, 387, 58, 341, 186, 387, 58, 341, 186]"
wav_CEbEEbC#B0343111.wav,"[387, 48, 330, 176, 387, 51, 330, 179, 387, 52, 330, 180, 387, 51, 330, 179, 387, 49, 330, 177, 387, 59, 330, 187]"
wav_AbGAbB87811.wav,"[387, 56, 355, 275, 184, 387, 55, 355, 275, 183, 387, 56, 355, 275, 184, 387, 59, 355, 275, 187]"
wav_AbFBDEBbEB85112410411.wav,"[387, 56, 355, 184, 387, 53, 355, 181, 387, 59, 355, 187, 387, 50, 355, 178, 387, 52, 355, 180, 387, 58, 355, 186, 387, 52, 355, 180, 387, 59, 355, 187]"
wav_DAbA289.wav,"[387, 50, 330, 178, 387, 56, 330, 184, 387, 57, 330, 185]"
wav_DEbC230.wav,"[387, 50, 330, 178, 387, 51, 330, 179, 387, 48, 330, 176]"
wav_AbEGAbEDDEbC847842230.wav,"[387, 56, 355, 275, 184, 387, 52, 355, 275, 180, 387, 55, 355, 275, 183, 387, 56, 355, 275, 184, 387, 52, 355, 275, 180, 387, 50, 355, 275, 178, 387, 50, 355, 275, 178, 387, 51, 355, 275, 179, 387, 48, 355, 275, 176]"
wav_FBABbABbC#FAb511910910158.wav,"[387, 53, 355, 305, 181, 387, 59, 355, 305, 187, 387, 57, 355, 305, 185, 387, 58, 355, 305, 186, 387, 57, 355, 305, 185, 387, 58, 355, 305, 186, 387, 49, 355, 305, 177, 387, 53, 355, 305, 181, 387, 56, 355, 305, 184]"
wav_FDBBFBbEbD52111151032.wav,"[387, 53, 355, 275, 181, 387, 50, 355, 275, 178, 387, 59, 355, 275, 187, 387, 59, 355, 275, 187, 387, 53, 355, 275, 181, 387, 58, 355, 275, 186, 387, 51, 355, 275, 179, 387, 50, 355, 275, 178]"
wav_C#F#BbGBbF#16107106.wav,"[387, 49, 355, 177, 387, 54, 355, 182, 387, 58, 355, 186, 387, 55, 355, 183, 387, 58, 355, 186, 387, 54, 355, 182]"
wav_DBDC#AG2112197.wav,"[387, 50, 355, 178, 387, 59, 355, 187, 387, 50, 355, 178, 387, 49, 355, 177, 387, 57, 355, 185, 387, 55, 355, 183]"
wav_FBCDAbFACGEb51102859073.wav,"[387, 53, 341, 181, 387, 59, 341, 187, 387, 48, 341, 176, 387, 50, 341, 178, 387, 56, 341, 184, 387, 53, 341, 181, 387, 57, 341, 185, 387, 48, 341, 176, 387, 55, 341, 183, 387, 51, 341, 179]"
wav_F#BGEbD611732.wav,"[387, 54, 341, 182, 387, 59, 341, 187, 387, 55, 341, 183, 387, 51, 341, 179, 387, 50, 341, 178]"
wav_BF#EbDAEBBF116329411115.wav,"[387, 59, 330, 187, 387, 54, 330, 182, 387, 51, 330, 179, 387, 50, 330, 178, 387, 57, 330, 185, 387, 52, 330, 180, 387, 59, 330, 187, 387, 59, 330, 187, 387, 53, 330, 181]"
wav_BbF#BbD106102.wav,"[387, 58, 355, 305, 186, 387, 54, 355, 305, 182, 387, 58, 355, 305, 186, 387, 50, 355, 305, 178]"
